ref,state,constituency,won status,votes,(votes),Name,Party Name
1,Ladakh,Ladakh(1),won,65259,(+ 27862),MOHMAD HANEEFA,Independent
2,Ladakh,Ladakh(1),lost,37397,( -27862),TSERING NAMGYAL,Indian National Congress
3,Ladakh,Ladakh(1),lost,31956,( -33303),TASHI GYALSON,Bharatiya Janata Party
4,Ladakh,Ladakh(1),,912,( -64347),NOTA,None of the Above
5,Kerala,Kollam(18),won,443628,(+ 150302),N K PREMACHANDRAN,Revolutionary Socialist Party
6,Kerala,Kollam(18),lost,293326,( -150302),M MUKESH,Communist Party of India  (Marxist)
7,Kerala,Kollam(18),lost,163210,( -280418),KRISHNAKUMAR G,Bharatiya Janata Party
8,Kerala,Kollam(18),lost,2194,( -441434),VIPINLAL VIDHYADHARAN,Bahujan Samaj Party
9,Kerala,Kollam(18),lost,1734,( -441894),PREMACHANDRAN NAIR,Independent
10,Kerala,Kollam(18),lost,1374,( -442254),GOKULAM SURESH KUMAR,Independent
11,Kerala,Kollam(18),lost,835,( -442793),PRADEEP KOTTARAKKARA,Bharatheeya Jawan Kisan Party
12,Kerala,Kollam(18),lost,708,( -442920),TWINKLE PRABHAKARAN,Socialist Unity Centre Of India (COMMUNIST)
13,Kerala,Kollam(18),lost,579,( -443049),BRO NOUSHAD  SHERIFF J,Independent
14,Kerala,Kollam(18),lost,559,( -443069),JOSE SARANATH,Ambedkarite Party of India
15,Kerala,Kollam(18),lost,549,( -443079),P KRISHNAMMAL,Marxist Communist Party of India (United)
16,Kerala,Kollam(18),lost,449,( -443179),N JAYARAJAN,Independent
17,Kerala,Kollam(18),,6546,( -437082),NOTA,None of the Above
18,Karnataka,Kolar(28),won,691481,(+ 71388),M. MALLESH BABU,Janata Dal  (Secular)
19,Karnataka,Kolar(28),lost,620093,( -71388),K V GOWTHAM,Indian National Congress
20,Karnataka,Kolar(28),lost,6487,( -684994),SUMAN H N,Independent
21,Karnataka,Kolar(28),lost,6163,( -685318),HOLUR SRINIVASA,Independent
22,Karnataka,Kolar(28),lost,4732,( -686749),S B SURESHA,Bahujan Samaj Party
23,Karnataka,Kolar(28),lost,4597,( -686884),K R DEVARAJA,Delhi Janta Party
24,Karnataka,Kolar(28),lost,3354,( -688127),DR M. VENKATASWAMY,Independent
25,Karnataka,Kolar(28),lost,2118,( -689363),R RANJITHKUMAR,Independent
26,Karnataka,Kolar(28),lost,1985,( -689496),S N NARAYANASWAMY V,Independent
27,Karnataka,Kolar(28),lost,1669,( -689812),D GOPALAKRISHNA,Socialist Party (India)
28,Karnataka,Kolar(28),lost,1354,( -690127),DEVARAJA A ALUSURUDINNE,Uttama Prajaakeeya Party
29,Karnataka,Kolar(28),lost,1116,( -690365),M S BADARINARAYANA,Independent
